Rank,Model,AST (ZH) Summary,ZH: Simple,ZH: Multiple,ZH: Parallel,ZH: Parallel Multiple,ZH: Relevance
1,xLAM-2-8b-fc-r LoRA ckpt3408-1batch-2560seq-3epoch-apigen-nomlp,96.88%,98.00%,97.00%,95.50%,97.00%,77.50%
2,Qwen3-8B (FC),96.69%,97.75%,97.50%,96.50%,95.00%,76.25%
3,Qwen3-8B (Prompt),96.62%,98.50%,95.00%,97.00%,96.00%,78.75%
4,xLAM-2-8b-fc-r LoRA ckpt4785-1batch-2560seq-3epoch-FC,96.31%,97.75%,96.00%,95.00%,96.50%,70.83%
5,xLAM-2-8b-fc-r LoRA ckpt1704-1batch-2560seq-3epoch-apigen-nomlp,96.31%,97.75%,96.50%,94.50%,96.50%,72.50%
6,xLAM-2-8b-fc-r LoRA ckpt2840-1batch-2560seq-3epoch-apigen-nomlp,96.12%,97.00%,95.50%,95.50%,96.50%,79.17%
7,xLAM-2-8b-fc-r LoRA ckpt8613-1batch-2560seq-3epoch-FC,96.12%,97.50%,96.50%,94.50%,96.00%,80.42%
8,xLAM-2-8b-fc-r LoRA ckpt2364-2batch-1024seq-3epoch-apigen,96.06%,97.25%,96.00%,95.50%,95.50%,77.92%
9,xLAM-2-8b-fc-r LoRA ckpt2272-1batch-2560seq-3epoch-apigen-nomlp,95.88%,97.50%,94.50%,95.50%,96.00%,81.67%
10,xLAM-2-8b-fc-r LoRA ckpt5115-1batch-2560seq-3epoch-apigen-nomlp,95.87%,98.00%,95.00%,96.00%,94.50%,78.75%
11,xLAM-2-8b-fc-r LoRA ckpt5112-1batch-2560seq-3epoch-apigen-nomlp,95.75%,98.00%,94.50%,96.00%,94.50%,79.17%
12,xLAM-2-8b-fc-r LoRA ckpt2364-2batch-1024seq-3epoch-apigen-nomlp,95.62%,97.50%,94.50%,96.00%,94.50%,77.50%
13,xLAM-2-8b-fc-r LoRA ckpt3976-1batch-2560seq-3epoch-apigen-nomlp,95.56%,97.75%,95.50%,95.50%,93.50%,77.92%
14,xLAM-2-8b-fc-r LoRA ckpt4544-1batch-2560seq-3epoch-apigen-nomlp,95.56%,97.75%,94.50%,95.50%,94.50%,80.00%
15,xLAM-2-8b-fc-r LoRA ckpt1315-2batch-1024seq-3epoch-apigen,95.50%,97.50%,94.00%,95.50%,95.00%,76.67%
16,xLAM-2-8b-fc-r LoRA ckpt1136-1batch-2560seq-3epoch-apigen-nomlp,95.38%,96.50%,94.50%,94.50%,96.00%,79.58%
17,xLAM-2-8b-fc-r LoRA ckpt957-1batch-2560seq-3epoch-FC,95.38%,97.50%,96.00%,91.50%,96.50%,81.67%
18,xLAM-2-8b-fc-r LoRA ckpt568-1batch-2560seq-3epoch-apigen-nomlp,95.31%,97.75%,95.50%,92.50%,95.50%,76.67%
19,xLAM-2-8b-fc-r LoRA ckpt263-2batch-1024seq-3epoch-apigen,95.25%,98.00%,96.00%,92.50%,94.50%,72.50%
20,xLAM-2-8b-fc-r LoRA ckpt1315-2batch-1024seq-3epoch-apigen-nomlp,95.19%,96.75%,95.50%,95.00%,93.50%,77.08%
21,ToolACE-2-8B (FC),95.12%,98.50%,97.50%,91.00%,93.50%,75.00%
22,xLAM-2-8b-fc-r LoRA ckpt3260-1batch-2560seq-3epoch-multi2000-nomlp,94.62%,97.00%,94.00%,94.50%,93.00%,64.58%
23,xLAM-2-8b-fc-r LoRA ckpt5865-1batch-2560seq-3epoch-multi2000-nomlp,94.19%,97.25%,94.50%,92.50%,92.50%,67.08%
24,xLAM-2-8b-fc-r LoRA ckpt263-2batch-1024seq-3epoch-apigen-nomlp,94.19%,97.25%,95.00%,92.00%,92.50%,74.17%
25,xLAM-2-8b-fc-r LoRA ckpt3675-1batch-2560seq-3epoch-multi4000-nomlp,94.06%,95.75%,92.50%,94.00%,94.00%,72.08%
26,xLAM-2-8b-fc-r LoRA ckpt6240-1batch-2560seq-3epoch-multi3000-nomlp,93.75%,96.00%,94.00%,93.00%,92.00%,65.83%
27,xLAM-2-8b-fc-r LoRA ckpt7638-1batch-2560seq-3epoch-multi-all-nomlp,93.62%,96.00%,95.00%,93.50%,90.00%,70.83%
28,xLAM-2-8b-fc-r LoRA ckpt4245-1batch-2560seq-3epoch-multi-all-nomlp,93.50%,96.00%,92.50%,93.50%,92.00%,74.17%
29,xLAM-2-8b-fc-r LoRA ckpt6615-1batch-2560seq-3epoch-multi4000-nomlp,93.50%,95.50%,92.00%,93.50%,93.00%,73.33%
30,xLAM-2-8b-fc-r LoRA ckpt3465-1batch-2560seq-3epoch-multi3000-nomlp,93.44%,95.75%,92.50%,93.00%,92.50%,70.42%
31,xLAM-2-8b-fc-r LoRA ckpt735-1batch-2560seq-3epoch-multi4000-nomlp,93.25%,95.00%,93.50%,92.00%,92.50%,74.17%
32,BitAgent-8B,93.00%,97.00%,97.00%,90.00%,88.00%,79.58%
33,watt-tool-8B (FC),93.00%,96.50%,97.00%,90.50%,88.00%,80.42%
34,xLAM-2-8b-fc-r LoRA ckpt984-1batch-2560seq-3epoch-ALL,92.38%,96.50%,91.00%,89.50%,92.50%,74.17%
35,xLAM-2-8b-fc-r LoRA ckpt693-1batch-2560seq-3epoch-multi3000-nomlp,92.31%,95.75%,92.50%,90.50%,90.50%,72.08%
36,xLAM-2-8b-fc-r LoRA ckpt652-1batch-2560seq-3epoch-multi2000-nomlp,92.00%,95.50%,91.00%,90.00%,91.50%,69.58%
37,Llama-3.1-8B-Instruct (Prompt),91.88%,97.00%,96.00%,87.00%,87.50%,49.58%
38,xLAM-2-8b-fc-r LoRA ckpt415-1batch-2560seq-3epoch-IF,91.50%,96.00%,94.50%,89.00%,86.50%,46.25%
39,xLAM-2-8b-fc-r (FC),91.44%,96.25%,94.00%,89.00%,86.50%,50.83%
40,xLAM-2-8b-fc-r LoRA ckpt849-1batch-2560seq-3epoch-multi-all-nomlp,90.75%,94.50%,92.50%,86.00%,90.00%,63.75%
41,CoALM-8B,90.25%,91.50%,88.50%,90.50%,90.50%,80.83%
42,xLAM-2-8b-fc-r LoRA ckpt4920-1batch-2560seq-3epoch-ALL,81.00%,81.00%,81.00%,70.50%,91.50%,85.83%
43,xLAM-2-8b-fc-r LoRA ckpt8853-1batch-2560seq-3epoch-ALL,74.88%,72.00%,78.50%,61.50%,87.50%,89.58%
44,Gemma-3-4b-it (Prompt),61.50%,94.00%,88.00%,35.00%,29.00%,23.33%
45,Llama-3.1-8B-Instruct (FC),59.44%,60.25%,55.50%,71.50%,50.50%,2.08%
46,xLAM-2-8b-fc-r LoRA ckpt2075-1batch-2560seq-3epoch-IF,51.62%,49.50%,43.00%,47.00%,67.00%,85.42%
47,xLAM-2-8b-fc-r LoRA ckpt3738-1batch-2560seq-3epoch-IF,37.50%,37.00%,27.50%,30.00%,55.50%,93.75%
48,Gemma-3-1b-it (Prompt),27.12%,75.50%,32.50%,0.50%,0.00%,9.58%
49,Ministral-8B-Instruct-2410 (FC),18.44%,20.75%,28.50%,7.00%,17.50%,100.00%
