Rank,Model,AST (ZH) Summary,ZH: Simple,ZH: Multiple,ZH: Parallel,ZH: Parallel Multiple,ZH: Relevance
1,Qwen3-8B (Prompt),93.75%,95.00%,92.50%,93.50%,94.00%,78.75%
2,Qwen3-8B (FC),93.06%,92.75%,92.50%,93.00%,94.00%,76.25%
3,ToolACE-2-8B (FC),92.06%,96.25%,93.00%,88.50%,90.50%,75.00%
4,watt-tool-8B (FC),89.94%,92.25%,92.50%,88.00%,87.00%,80.42%
5,BitAgent-8B,89.38%,92.50%,91.50%,87.50%,86.00%,79.58%
6,Llama-3.1-8B-Instruct (Prompt),88.06%,92.75%,90.00%,83.50%,86.00%,49.58%
7,xLAM-2-8b-fc-r (FC),87.88%,92.00%,88.50%,85.50%,85.50%,50.83%
8,CoALM-8B,69.56%,64.75%,66.50%,70.50%,76.50%,80.83%
9,Gemma-3-4b-it (Prompt),57.69%,86.25%,83.00%,33.00%,28.50%,23.33%
10,Llama-3.1-8B-Instruct (FC),50.56%,52.75%,46.00%,57.00%,46.50%,2.08%
11,Gemma-3-1b-it (Prompt),21.50%,60.00%,25.50%,0.50%,0.00%,9.58%
12,Ministral-8B-Instruct-2410 (FC),17.81%,19.75%,27.00%,7.00%,17.50%,100.00%
