Rank,Model,Agentic Overall Acc,Web Search Summary,Web Search Base,Web Search No Snippet,Memory Summary,Memory KV,Memory Vector,Memory Recursive Summarization
1,Qwen3-8B (FC),12.82%,5.00%,6.00%,4.00%,20.65%,2.58%,17.42%,41.94%
2,xLAM-2-8b-fc-r LoRA ckpt415-1batch-2560seq-3epoch-IF,8.24%,1.00%,1.00%,1.00%,15.48%,5.81%,14.19%,26.45%
3,Llama-3.1-8B-Instruct (FC),8.24%,1.00%,1.00%,1.00%,15.48%,4.52%,12.26%,29.68%
4,xLAM-2-8b-fc-r LoRA ckpt984-1batch-2560seq-3epoch-ALL,8.06%,0.00%,0.00%,0.00%,16.13%,7.74%,13.55%,27.10%
5,Qwen3-8B (Prompt),7.99%,2.00%,1.00%,3.00%,13.98%,6.45%,11.61%,23.87%
6,xLAM-2-8b-fc-r (FC),7.96%,0.00%,0.00%,0.00%,15.91%,5.16%,16.13%,26.45%
7,xLAM-2-8b-fc-r LoRA ckpt1315-2batch-1024seq-3epoch-apigen,7.85%,0.00%,0.00%,0.00%,15.70%,7.10%,13.55%,26.45%
8,xLAM-2-8b-fc-r LoRA ckpt263-2batch-1024seq-3epoch-apigen-nomlp,7.74%,0.00%,0.00%,0.00%,15.48%,5.16%,19.35%,21.94%
9,xLAM-2-8b-fc-r LoRA ckpt2075-1batch-2560seq-3epoch-IF,7.63%,0.00%,0.00%,0.00%,15.27%,4.52%,14.19%,27.10%
10,xLAM-2-8b-fc-r LoRA ckpt3675-1batch-2560seq-3epoch-multi4000-nomlp,7.53%,0.00%,0.00%,0.00%,15.05%,5.81%,10.97%,28.39%
11,xLAM-2-8b-fc-r LoRA ckpt263-2batch-1024seq-3epoch-apigen,7.53%,0.00%,0.00%,0.00%,15.05%,3.87%,16.77%,24.52%
12,xLAM-2-8b-fc-r LoRA ckpt957-1batch-2560seq-3epoch-FC,7.53%,0.00%,0.00%,0.00%,15.05%,2.58%,15.48%,27.10%
13,xLAM-2-8b-fc-r LoRA ckpt849-1batch-2560seq-3epoch-multi-all-nomlp,7.45%,0.50%,1.00%,0.00%,14.41%,9.03%,12.26%,21.94%
14,xLAM-2-8b-fc-r LoRA ckpt735-1batch-2560seq-3epoch-multi4000-nomlp,7.42%,0.00%,0.00%,0.00%,14.84%,5.81%,11.61%,27.10%
15,xLAM-2-8b-fc-r LoRA ckpt4785-1batch-2560seq-3epoch-FC,7.42%,0.00%,0.00%,0.00%,14.84%,1.29%,12.90%,30.32%
16,xLAM-2-8b-fc-r LoRA ckpt693-1batch-2560seq-3epoch-multi3000-nomlp,6.88%,0.00%,0.00%,0.00%,13.76%,1.29%,10.97%,29.03%
17,xLAM-2-8b-fc-r LoRA ckpt6615-1batch-2560seq-3epoch-multi4000-nomlp,6.88%,0.00%,0.00%,0.00%,13.76%,1.94%,10.32%,29.03%
18,xLAM-2-8b-fc-r LoRA ckpt7638-1batch-2560seq-3epoch-multi-all-nomlp,6.77%,0.00%,0.00%,0.00%,13.55%,5.81%,12.26%,22.58%
19,xLAM-2-8b-fc-r LoRA ckpt5865-1batch-2560seq-3epoch-multi2000-nomlp,6.67%,0.00%,0.00%,0.00%,13.33%,4.52%,12.90%,22.58%
20,ToolACE-2-8B (FC),6.67%,0.00%,0.00%,0.00%,13.33%,4.52%,7.10%,28.39%
21,xLAM-2-8b-fc-r LoRA ckpt3738-1batch-2560seq-3epoch-IF,6.56%,0.00%,0.00%,0.00%,13.12%,9.03%,12.26%,18.06%
22,xLAM-2-8b-fc-r LoRA ckpt568-1batch-2560seq-3epoch-apigen-nomlp,6.45%,0.00%,0.00%,0.00%,12.90%,5.81%,14.19%,18.71%
23,xLAM-2-8b-fc-r LoRA ckpt4245-1batch-2560seq-3epoch-multi-all-nomlp,6.27%,0.50%,0.00%,1.00%,12.04%,1.94%,9.68%,24.52%
