Rank,Model,Live Overall Acc,AST Summary,Python Simple AST,Python Multiple AST,Python Parallel AST,Python Parallel Multiple AST,Irrelevance Detection,Relevance Detection
1,Qwen3-8B (FC),80.68%,80.68%,84.88%,79.77%,75.00%,79.17%,77.60%,87.50%
2,Qwen3-8B (Prompt),79.64%,79.64%,82.95%,78.82%,87.50%,75.00%,77.60%,75.00%
3,ToolACE-2-8B (FC),77.20%,77.20%,70.16%,79.30%,75.00%,62.50%,84.50%,75.00%
4,BitAgent-8B,76.17%,76.17%,78.29%,75.78%,87.50%,62.50%,75.45%,75.00%
5,watt-tool-8B (FC),76.09%,76.09%,78.29%,75.69%,87.50%,62.50%,76.13%,75.00%
6,xLAM-2-8b-fc-r LoRA ckpt2840-1batch-2560seq-3epoch-apigen-nomlp,74.61%,74.61%,80.62%,73.31%,68.75%,70.83%,58.48%,100.00%
7,xLAM-2-8b-fc-r LoRA ckpt5115-1batch-2560seq-3epoch-apigen-nomlp,73.58%,73.58%,79.07%,72.55%,62.50%,66.67%,68.44%,100.00%
8,xLAM-2-8b-fc-r LoRA ckpt5112-1batch-2560seq-3epoch-apigen-nomlp,73.58%,73.58%,78.29%,72.74%,62.50%,66.67%,68.44%,100.00%
9,xLAM-2-8b-fc-r LoRA ckpt3976-1batch-2560seq-3epoch-apigen-nomlp,73.43%,73.43%,79.46%,72.27%,62.50%,66.67%,65.72%,100.00%
10,xLAM-2-8b-fc-r LoRA ckpt2364-2batch-1024seq-3epoch-apigen,73.43%,73.43%,77.52%,72.84%,68.75%,58.33%,63.46%,93.75%
11,xLAM-2-8b-fc-r LoRA ckpt4544-1batch-2560seq-3epoch-apigen-nomlp,73.28%,73.28%,78.68%,72.27%,62.50%,66.67%,69.23%,87.50%
12,xLAM-2-8b-fc-r LoRA ckpt2272-1batch-2560seq-3epoch-apigen-nomlp,73.21%,73.21%,77.91%,72.46%,62.50%,62.50%,61.31%,93.75%
13,xLAM-2-8b-fc-r LoRA ckpt1315-2batch-1024seq-3epoch-apigen,72.69%,72.69%,77.91%,71.89%,62.50%,58.33%,57.24%,93.75%
14,xLAM-2-8b-fc-r LoRA ckpt3408-1batch-2560seq-3epoch-apigen-nomlp,72.46%,72.46%,80.62%,70.85%,62.50%,62.50%,60.07%,100.00%
15,Ministral-8B-Instruct-2410 (FC),72.32%,72.32%,75.97%,71.60%,62.50%,70.83%,53.17%,81.25%
16,xLAM-2-8b-fc-r LoRA ckpt1704-1batch-2560seq-3epoch-apigen-nomlp,72.09%,72.09%,79.84%,70.56%,62.50%,62.50%,56.79%,93.75%
17,xLAM-2-8b-fc-r LoRA ckpt957-1batch-2560seq-3epoch-FC,71.72%,71.72%,75.58%,70.94%,68.75%,66.67%,58.48%,93.75%
18,xLAM-2-8b-fc-r LoRA ckpt1136-1batch-2560seq-3epoch-apigen-nomlp,71.13%,71.13%,77.52%,69.80%,62.50%,66.67%,60.41%,100.00%
19,xLAM-2-8b-fc-r LoRA ckpt568-1batch-2560seq-3epoch-apigen-nomlp,71.13%,71.13%,76.74%,70.18%,62.50%,58.33%,54.86%,100.00%
20,Llama-3.1-8B-Instruct (Prompt),70.54%,70.54%,72.48%,70.85%,56.25%,45.83%,36.99%,93.75%
21,xLAM-2-8b-fc-r LoRA ckpt263-2batch-1024seq-3epoch-apigen,70.17%,70.17%,75.19%,69.14%,62.50%,66.67%,48.98%,93.75%
22,xLAM-2-8b-fc-r LoRA ckpt8613-1batch-2560seq-3epoch-FC,70.17%,70.17%,75.19%,69.42%,62.50%,54.17%,71.83%,87.50%
23,xLAM-2-8b-fc-r LoRA ckpt4920-1batch-2560seq-3epoch-ALL,69.73%,69.73%,75.19%,68.47%,62.50%,70.83%,70.25%,93.75%
24,xLAM-2-8b-fc-r LoRA ckpt8853-1batch-2560seq-3epoch-ALL,69.73%,69.73%,74.03%,68.66%,68.75%,70.83%,74.32%,87.50%
25,xLAM-2-8b-fc-r LoRA ckpt4785-1batch-2560seq-3epoch-FC,69.28%,69.28%,76.36%,67.90%,62.50%,58.33%,60.97%,100.00%
26,xLAM-2-8b-fc-r LoRA ckpt984-1batch-2560seq-3epoch-ALL,67.80%,67.80%,74.81%,66.29%,62.50%,62.50%,54.30%,93.75%
27,xLAM-2-8b-fc-r (FC),67.73%,67.73%,74.81%,66.57%,50.00%,54.17%,64.14%,87.50%
28,CoALM-8B,66.54%,66.54%,70.54%,65.91%,62.50%,54.17%,82.58%,87.50%
29,xLAM-2-8b-fc-r LoRA ckpt2075-1batch-2560seq-3epoch-IF,65.43%,65.43%,71.32%,64.39%,62.50%,50.00%,69.34%,87.50%
30,xLAM-2-8b-fc-r LoRA ckpt415-1batch-2560seq-3epoch-IF,65.43%,65.43%,73.26%,64.01%,62.50%,45.83%,60.63%,87.50%
31,xLAM-2-8b-fc-r LoRA ckpt3738-1batch-2560seq-3epoch-IF,64.91%,64.91%,70.16%,64.10%,62.50%,45.83%,69.23%,87.50%
32,Gemma-3-4b-it (Prompt),60.47%,60.47%,70.16%,59.16%,25.00%,37.50%,58.14%,100.00%
33,Llama-3.1-8B-Instruct (FC),48.56%,48.56%,51.94%,48.15%,31.25%,41.67%,8.37%,100.00%
34,Gemma-3-1b-it (Prompt),11.84%,11.84%,36.43%,6.27%,0.00%,0.00%,59.28%,37.50%
