Rank,Model,Multi Turn Overall Acc,Base,Miss Func,Miss Param,Long Context
1,xLAM-2-8b-fc-r (FC),69.12%,76.50%,69.00%,64.00%,67.00%
2,xLAM-2-8b-fc-r LoRA ckpt415-1batch-2560seq-3epoch-IF,68.00%,78.50%,66.00%,60.00%,67.50%
3,xLAM-2-8b-fc-r LoRA ckpt2075-1batch-2560seq-3epoch-IF,64.38%,73.50%,62.00%,59.00%,63.00%
4,xLAM-2-8b-fc-r LoRA ckpt3738-1batch-2560seq-3epoch-IF,63.00%,73.00%,60.50%,57.50%,61.00%
5,xLAM-2-8b-fc-r LoRA ckpt984-1batch-2560seq-3epoch-ALL,60.12%,72.50%,53.50%,51.50%,63.00%
6,xLAM-2-8b-fc-r LoRA ckpt263-2batch-1024seq-3epoch-apigen,54.50%,67.00%,47.50%,45.00%,58.50%
7,xLAM-2-8b-fc-r LoRA ckpt2364-2batch-1024seq-3epoch-apigen,53.87%,69.00%,44.00%,42.00%,60.50%
8,xLAM-2-8b-fc-r LoRA ckpt1315-2batch-1024seq-3epoch-apigen,52.62%,64.50%,45.50%,42.00%,58.50%
9,xLAM-2-8b-fc-r LoRA ckpt4785-1batch-2560seq-3epoch-FC,52.00%,63.00%,46.50%,43.00%,55.50%
10,xLAM-2-8b-fc-r LoRA ckpt568-1batch-2560seq-3epoch-apigen-nomlp,51.87%,62.50%,48.50%,39.50%,57.00%
11,xLAM-2-8b-fc-r LoRA ckpt957-1batch-2560seq-3epoch-FC,50.88%,61.00%,44.50%,43.50%,54.50%
12,xLAM-2-8b-fc-r LoRA ckpt8613-1batch-2560seq-3epoch-FC,49.25%,59.00%,46.50%,38.50%,53.00%
13,xLAM-2-8b-fc-r LoRA ckpt1136-1batch-2560seq-3epoch-apigen-nomlp,48.50%,61.50%,43.00%,37.50%,52.00%
14,xLAM-2-8b-fc-r LoRA ckpt4920-1batch-2560seq-3epoch-ALL,47.00%,60.00%,39.50%,37.00%,51.50%
15,xLAM-2-8b-fc-r LoRA ckpt1704-1batch-2560seq-3epoch-apigen-nomlp,46.88%,62.00%,38.00%,35.00%,52.50%
16,xLAM-2-8b-fc-r LoRA ckpt2840-1batch-2560seq-3epoch-apigen-nomlp,45.75%,61.00%,38.00%,31.00%,53.00%
17,xLAM-2-8b-fc-r LoRA ckpt3408-1batch-2560seq-3epoch-apigen-nomlp,45.38%,58.00%,39.00%,31.50%,53.00%
18,xLAM-2-8b-fc-r LoRA ckpt5115-1batch-2560seq-3epoch-apigen-nomlp,45.00%,58.00%,41.00%,29.00%,52.00%
19,xLAM-2-8b-fc-r LoRA ckpt2272-1batch-2560seq-3epoch-apigen-nomlp,44.88%,60.00%,34.50%,33.50%,51.50%
20,xLAM-2-8b-fc-r LoRA ckpt5112-1batch-2560seq-3epoch-apigen-nomlp,44.62%,56.50%,40.00%,28.50%,53.50%
21,xLAM-2-8b-fc-r LoRA ckpt4544-1batch-2560seq-3epoch-apigen-nomlp,44.62%,57.50%,40.00%,28.50%,52.50%
22,xLAM-2-8b-fc-r LoRA ckpt3976-1batch-2560seq-3epoch-apigen-nomlp,44.62%,57.00%,40.50%,30.00%,51.00%
23,xLAM-2-8b-fc-r LoRA ckpt8853-1batch-2560seq-3epoch-ALL,44.38%,55.50%,39.50%,32.50%,50.00%
24,ToolACE-2-8B (FC),38.25%,47.50%,31.50%,29.50%,44.50%
25,watt-tool-8B (FC),37.75%,45.50%,39.50%,24.50%,41.50%
26,Qwen3-8B (FC),37.75%,41.00%,43.50%,34.50%,32.00%
27,BitAgent-8B,37.62%,45.50%,37.50%,24.50%,43.00%
28,Qwen3-8B (Prompt),27.88%,32.50%,36.00%,23.50%,19.50%
29,Ministral-8B-Instruct-2410 (FC),11.00%,19.50%,6.00%,9.50%,9.00%
30,Llama-3.1-8B-Instruct (Prompt),7.25%,8.50%,6.50%,6.50%,7.50%
31,CoALM-8B,6.38%,7.00%,8.50%,5.50%,4.50%
32,Llama-3.1-8B-Instruct (FC),6.25%,6.00%,7.50%,6.00%,5.50%
33,Gemma-3-4b-it (Prompt),1.75%,2.50%,1.50%,1.50%,1.50%
34,Gemma-3-1b-it (Prompt),0.00%,0.00%,0.00%,0.00%,0.00%
