model,category,recovered,judged,recovery_rate
BitAgent_BitAgent-8B,zh_parallel_multiple,28,63,0.4444444444444444
BitAgent_BitAgent-8B,zh_simple_python,22,41,0.5365853658536586
BitAgent_BitAgent-8B,zh_multiple,12,24,0.5
BitAgent_BitAgent-8B,zh_parallel,9,46,0.1956521739130435
google_gemma-3-4b-it,zh_parallel_multiple,13,25,0.52
google_gemma-3-4b-it,zh_simple_python,21,53,0.39622641509433965
google_gemma-3-4b-it,zh_multiple,12,24,0.5
google_gemma-3-4b-it,zh_parallel,5,45,0.1111111111111111
Team-ACE_ToolACE-2-8B,zh_parallel_multiple,31,78,0.3974358974358974
Team-ACE_ToolACE-2-8B,zh_simple_python,22,32,0.6875
Team-ACE_ToolACE-2-8B,zh_multiple,8,17,0.47058823529411764
Team-ACE_ToolACE-2-8B,zh_parallel,10,52,0.19230769230769232
meta-llama_Llama-3.1-8B-Instruct,zh_parallel_multiple,33,66,0.5
meta-llama_Llama-3.1-8B-Instruct,zh_simple_python,22,41,0.5365853658536586
meta-llama_Llama-3.1-8B-Instruct,zh_multiple,9,22,0.4090909090909091
meta-llama_Llama-3.1-8B-Instruct,zh_parallel,7,76,0.09210526315789473
Salesforce_Llama-xLAM-2-8b-fc-r,zh_parallel_multiple,42,76,0.5526315789473685
Salesforce_Llama-xLAM-2-8b-fc-r,zh_simple_python,19,37,0.5135135135135135
Salesforce_Llama-xLAM-2-8b-fc-r,zh_multiple,12,23,0.5217391304347826
Salesforce_Llama-xLAM-2-8b-fc-r,zh_parallel,13,63,0.20634920634920634
watt-ai_watt-tool-8B,zh_parallel_multiple,32,66,0.48484848484848486
watt-ai_watt-tool-8B,zh_simple_python,23,41,0.5609756097560976
watt-ai_watt-tool-8B,zh_multiple,13,23,0.5652173913043478
watt-ai_watt-tool-8B,zh_parallel,9,46,0.1956521739130435
uiuc-convai_CoALM-8B,zh_parallel_multiple,56,248,0.22580645161290322
uiuc-convai_CoALM-8B,zh_simple_python,16,135,0.11851851851851852
uiuc-convai_CoALM-8B,zh_multiple,6,59,0.1016949152542373
uiuc-convai_CoALM-8B,zh_parallel,15,259,0.05791505791505792
google_gemma-3-1b-it,zh_simple_python,23,86,0.26744186046511625
google_gemma-3-1b-it,zh_multiple,3,19,0.15789473684210525
google_gemma-3-1b-it,zh_parallel,1,1,1.0
Qwen_Qwen3-8B,zh_parallel_multiple,35,66,0.5303030303030303
Qwen_Qwen3-8B,zh_simple_python,38,53,0.7169811320754716
Qwen_Qwen3-8B,zh_multiple,15,20,0.75
Qwen_Qwen3-8B,zh_parallel,12,53,0.22641509433962265
mistralai_Ministral-8B-Instruct-2410,zh_parallel_multiple,5,8,0.625
mistralai_Ministral-8B-Instruct-2410,zh_simple_python,3,8,0.375
mistralai_Ministral-8B-Instruct-2410,zh_multiple,3,6,0.5
mistralai_Ministral-8B-Instruct-2410,zh_parallel,2,2,1.0
Qwen_Qwen3-8B-FC,zh_parallel_multiple,59,89,0.6629213483146067
Qwen_Qwen3-8B-FC,zh_simple_python,54,77,0.7012987012987013
Qwen_Qwen3-8B-FC,zh_multiple,24,34,0.7058823529411765
Qwen_Qwen3-8B-FC,zh_parallel,23,58,0.39655172413793105
meta-llama_Llama-3.1-8B-Instruct-FC,zh_parallel_multiple,40,103,0.3883495145631068
meta-llama_Llama-3.1-8B-Instruct-FC,zh_simple_python,19,51,0.37254901960784315
meta-llama_Llama-3.1-8B-Instruct-FC,zh_multiple,9,31,0.2903225806451613
meta-llama_Llama-3.1-8B-Instruct-FC,zh_parallel,20,180,0.1111111111111111
