Rank,Model,AST (ZH) Summary,ZH: Simple,ZH: Multiple,ZH: Parallel,ZH: Parallel Multiple,ZH: Relevance
1,ToolACE-2-8B (FC),84.56%,90.75%,89.00%,83.50%,75.00%,75.00%
2,xLAM-2-8b-fc-r LoRA ckpt1704-1batch-2560seq-3epoch-apigen-nomlp,84.50%,89.00%,89.50%,84.00%,75.50%,72.50%
3,xLAM-2-8b-fc-r LoRA ckpt3408-1batch-2560seq-3epoch-apigen-nomlp,83.81%,87.75%,86.50%,86.50%,74.50%,77.50%
4,xLAM-2-8b-fc-r LoRA ckpt2272-1batch-2560seq-3epoch-apigen-nomlp,83.69%,88.25%,87.00%,85.00%,74.50%,81.67%
5,Qwen3-8B (Prompt),83.62%,85.50%,85.00%,87.50%,76.50%,78.75%
6,xLAM-2-8b-fc-r LoRA ckpt568-1batch-2560seq-3epoch-apigen-nomlp,83.62%,88.50%,88.00%,81.50%,76.50%,76.67%
7,xLAM-2-8b-fc-r LoRA ckpt2840-1batch-2560seq-3epoch-apigen-nomlp,83.56%,86.75%,88.50%,86.00%,73.00%,79.17%
8,xLAM-2-8b-fc-r LoRA ckpt1136-1batch-2560seq-3epoch-apigen-nomlp,83.06%,86.75%,87.50%,85.00%,73.00%,79.58%
9,xLAM-2-8b-fc-r LoRA ckpt263-2batch-1024seq-3epoch-apigen,82.88%,89.00%,85.50%,82.00%,75.00%,72.50%
10,xLAM-2-8b-fc-r LoRA ckpt1315-2batch-1024seq-3epoch-apigen,82.69%,86.25%,84.50%,86.00%,74.00%,76.67%
11,xLAM-2-8b-fc-r LoRA ckpt2364-2batch-1024seq-3epoch-apigen,82.56%,86.25%,86.00%,85.50%,72.50%,77.92%
12,xLAM-2-8b-fc-r LoRA ckpt4785-1batch-2560seq-3epoch-FC,82.31%,84.25%,86.50%,82.50%,76.00%,70.83%
13,xLAM-2-8b-fc-r LoRA ckpt2364-2batch-1024seq-3epoch-apigen-nomlp,82.25%,87.50%,88.00%,84.00%,69.50%,77.50%
14,BitAgent-8B,81.88%,87.00%,85.50%,83.00%,72.00%,79.58%
15,xLAM-2-8b-fc-r LoRA ckpt1315-2batch-1024seq-3epoch-apigen-nomlp,81.87%,87.00%,88.50%,82.00%,70.00%,77.08%
16,watt-tool-8B (FC),81.75%,86.50%,86.00%,83.50%,71.00%,80.42%
17,xLAM-2-8b-fc-r LoRA ckpt5115-1batch-2560seq-3epoch-apigen-nomlp,81.75%,87.50%,83.50%,86.00%,70.00%,78.75%
18,xLAM-2-8b-fc-r LoRA ckpt4544-1batch-2560seq-3epoch-apigen-nomlp,81.69%,86.75%,82.50%,86.00%,71.50%,80.00%
19,xLAM-2-8b-fc-r LoRA ckpt5112-1batch-2560seq-3epoch-apigen-nomlp,81.50%,87.00%,82.50%,86.50%,70.00%,79.17%
20,xLAM-2-8b-fc-r LoRA ckpt263-2batch-1024seq-3epoch-apigen-nomlp,81.19%,86.75%,85.50%,81.00%,71.50%,74.17%
21,xLAM-2-8b-fc-r LoRA ckpt8613-1batch-2560seq-3epoch-FC,80.75%,85.00%,86.00%,80.50%,71.50%,80.42%
22,xLAM-2-8b-fc-r LoRA ckpt3976-1batch-2560seq-3epoch-apigen-nomlp,80.69%,86.25%,83.50%,84.50%,68.50%,77.92%
23,Llama-3.1-8B-Instruct (Prompt),80.56%,87.25%,85.50%,80.00%,69.50%,49.58%
24,xLAM-2-8b-fc-r LoRA ckpt957-1batch-2560seq-3epoch-FC,80.06%,84.75%,87.50%,79.50%,68.50%,81.67%
25,xLAM-2-8b-fc-r LoRA ckpt3260-1batch-2560seq-3epoch-multi2000-nomlp,79.31%,85.25%,83.50%,82.00%,66.50%,64.58%
26,xLAM-2-8b-fc-r LoRA ckpt5865-1batch-2560seq-3epoch-multi2000-nomlp,79.06%,84.75%,83.50%,80.50%,67.50%,67.08%
27,xLAM-2-8b-fc-r LoRA ckpt984-1batch-2560seq-3epoch-ALL,78.94%,85.75%,83.00%,79.00%,68.00%,74.17%
28,xLAM-2-8b-fc-r LoRA ckpt3675-1batch-2560seq-3epoch-multi4000-nomlp,78.56%,83.75%,84.00%,80.00%,66.50%,72.08%
29,xLAM-2-8b-fc-r (FC),78.31%,87.25%,82.50%,79.00%,64.50%,50.83%
30,xLAM-2-8b-fc-r LoRA ckpt6240-1batch-2560seq-3epoch-multi3000-nomlp,78.25%,85.00%,83.00%,80.00%,65.00%,65.83%
31,xLAM-2-8b-fc-r LoRA ckpt693-1batch-2560seq-3epoch-multi3000-nomlp,78.12%,85.50%,84.00%,78.00%,65.00%,72.08%
32,xLAM-2-8b-fc-r LoRA ckpt3465-1batch-2560seq-3epoch-multi3000-nomlp,78.00%,84.50%,81.50%,78.50%,67.50%,70.42%
33,xLAM-2-8b-fc-r LoRA ckpt7638-1batch-2560seq-3epoch-multi-all-nomlp,78.00%,84.50%,84.50%,80.00%,63.00%,70.83%
34,xLAM-2-8b-fc-r LoRA ckpt4245-1batch-2560seq-3epoch-multi-all-nomlp,77.62%,84.00%,82.00%,79.50%,65.00%,74.17%
35,xLAM-2-8b-fc-r LoRA ckpt6615-1batch-2560seq-3epoch-multi4000-nomlp,77.56%,83.25%,82.50%,80.00%,64.50%,73.33%
36,xLAM-2-8b-fc-r LoRA ckpt652-1batch-2560seq-3epoch-multi2000-nomlp,77.19%,85.25%,80.50%,76.00%,67.00%,69.58%
37,xLAM-2-8b-fc-r LoRA ckpt415-1batch-2560seq-3epoch-IF,76.75%,85.50%,84.00%,76.00%,61.50%,46.25%
38,xLAM-2-8b-fc-r LoRA ckpt735-1batch-2560seq-3epoch-multi4000-nomlp,76.56%,83.75%,82.50%,76.00%,64.00%,74.17%
39,Qwen3-8B (FC),76.44%,79.25%,80.50%,81.50%,64.50%,76.25%
40,xLAM-2-8b-fc-r LoRA ckpt849-1batch-2560seq-3epoch-multi-all-nomlp,74.19%,81.75%,83.00%,71.50%,60.50%,63.75%
41,xLAM-2-8b-fc-r LoRA ckpt4920-1batch-2560seq-3epoch-ALL,67.81%,69.75%,71.50%,61.00%,69.00%,85.83%
42,xLAM-2-8b-fc-r LoRA ckpt8853-1batch-2560seq-3epoch-ALL,61.75%,61.00%,67.50%,54.00%,64.50%,89.58%
43,CoALM-8B,58.94%,60.75%,63.50%,63.00%,48.50%,80.83%
44,Gemma-3-4b-it (Prompt),52.62%,81.00%,77.00%,30.50%,22.00%,23.33%
45,Llama-3.1-8B-Instruct (FC),40.75%,48.00%,41.50%,47.00%,26.50%,2.08%
46,xLAM-2-8b-fc-r LoRA ckpt2075-1batch-2560seq-3epoch-IF,39.62%,42.00%,34.50%,38.50%,43.50%,85.42%
47,xLAM-2-8b-fc-r LoRA ckpt3738-1batch-2560seq-3epoch-IF,28.38%,30.00%,22.00%,25.00%,36.50%,93.75%
48,Gemma-3-1b-it (Prompt),19.56%,54.25%,24.00%,0.00%,0.00%,9.58%
49,Ministral-8B-Instruct-2410 (FC),16.38%,19.00%,25.50%,6.00%,15.00%,100.00%
