Rank,Model,Non-Live Overall Acc,AST Summary,Simple AST,Python Simple AST,Java Simple AST,JavaScript Simple AST,Multiple AST,Parallel AST,Parallel Multiple AST,Irrelevance Detection
1,Qwen3-8B (Prompt),89.10%,89.10%,78.42%,96.25%,65.00%,74.00%,95.00%,92.50%,90.50%,87.50%
2,ToolACE-2-8B (FC),87.73%,87.73%,74.42%,85.25%,64.00%,74.00%,92.00%,92.50%,92.00%,96.67%
3,Qwen3-8B (FC),87.71%,87.71%,74.83%,96.50%,62.00%,66.00%,95.00%,92.00%,89.00%,80.83%
4,BitAgent-8B,87.69%,87.69%,76.25%,93.75%,65.00%,70.00%,95.00%,93.50%,86.00%,92.92%
5,xLAM-2-8b-fc-r LoRA ckpt1315-2batch-1024seq-3epoch-apigen-nomlp,87.46%,87.46%,75.83%,95.50%,60.00%,72.00%,95.00%,91.00%,88.00%,65.42%
6,watt-tool-8B (FC),87.33%,87.33%,76.83%,93.50%,65.00%,72.00%,95.00%,93.00%,84.50%,93.33%
7,xLAM-2-8b-fc-r LoRA ckpt2364-2batch-1024seq-3epoch-apigen-nomlp,87.10%,87.10%,75.92%,95.75%,60.00%,72.00%,93.50%,91.50%,87.50%,73.75%
8,xLAM-2-8b-fc-r LoRA ckpt2840-1batch-2560seq-3epoch-apigen-nomlp,86.98%,86.98%,75.92%,95.75%,60.00%,72.00%,93.00%,90.50%,88.50%,69.17%
9,xLAM-2-8b-fc-r LoRA ckpt568-1batch-2560seq-3epoch-apigen-nomlp,86.98%,86.98%,76.92%,95.75%,61.00%,74.00%,93.50%,89.50%,88.00%,71.67%
10,xLAM-2-8b-fc-r LoRA ckpt263-2batch-1024seq-3epoch-apigen-nomlp,86.52%,86.52%,75.58%,94.75%,60.00%,72.00%,93.50%,89.00%,88.00%,63.33%
11,xLAM-2-8b-fc-r LoRA ckpt3408-1batch-2560seq-3epoch-apigen-nomlp,86.46%,86.46%,74.83%,94.50%,60.00%,70.00%,93.50%,90.50%,87.00%,72.92%
12,xLAM-2-8b-fc-r LoRA ckpt2272-1batch-2560seq-3epoch-apigen-nomlp,86.44%,86.44%,73.75%,95.25%,58.00%,68.00%,93.50%,91.00%,87.50%,69.17%
13,xLAM-2-8b-fc-r LoRA ckpt1136-1batch-2560seq-3epoch-apigen-nomlp,86.42%,86.42%,74.17%,95.50%,57.00%,70.00%,93.50%,89.50%,88.50%,75.00%
14,xLAM-2-8b-fc-r LoRA ckpt1704-1batch-2560seq-3epoch-apigen-nomlp,86.33%,86.33%,73.33%,95.00%,59.00%,66.00%,94.50%,89.00%,88.50%,63.33%
15,xLAM-2-8b-fc-r LoRA ckpt652-1batch-2560seq-3epoch-multi2000-nomlp,85.96%,85.96%,74.83%,93.50%,59.00%,72.00%,93.50%,89.00%,86.50%,58.33%
16,xLAM-2-8b-fc-r LoRA ckpt415-1batch-2560seq-3epoch-IF,85.90%,85.90%,76.08%,93.25%,63.00%,72.00%,96.00%,86.50%,85.00%,67.50%
17,xLAM-2-8b-fc-r LoRA ckpt693-1batch-2560seq-3epoch-multi3000-nomlp,85.79%,85.79%,74.17%,92.50%,58.00%,72.00%,93.50%,89.00%,86.50%,67.50%
18,xLAM-2-8b-fc-r LoRA ckpt849-1batch-2560seq-3epoch-multi-all-nomlp,85.65%,85.65%,74.58%,92.75%,59.00%,72.00%,93.00%,88.00%,87.00%,62.50%
19,xLAM-2-8b-fc-r LoRA ckpt4544-1batch-2560seq-3epoch-apigen-nomlp,85.56%,85.56%,72.25%,94.75%,58.00%,64.00%,92.50%,90.50%,87.00%,77.50%
20,xLAM-2-8b-fc-r LoRA ckpt3976-1batch-2560seq-3epoch-apigen-nomlp,85.54%,85.54%,72.67%,94.00%,58.00%,66.00%,92.50%,90.00%,87.00%,77.08%
21,xLAM-2-8b-fc-r LoRA ckpt735-1batch-2560seq-3epoch-multi4000-nomlp,85.50%,85.50%,75.00%,93.00%,60.00%,72.00%,93.00%,87.50%,86.50%,66.67%
22,xLAM-2-8b-fc-r LoRA ckpt3260-1batch-2560seq-3epoch-multi2000-nomlp,85.48%,85.48%,72.42%,94.25%,59.00%,64.00%,93.50%,88.50%,87.50%,67.50%
23,xLAM-2-8b-fc-r LoRA ckpt5112-1batch-2560seq-3epoch-apigen-nomlp,85.42%,85.42%,72.17%,94.50%,58.00%,64.00%,92.50%,90.50%,86.50%,76.67%
24,xLAM-2-8b-fc-r LoRA ckpt5115-1batch-2560seq-3epoch-apigen-nomlp,85.29%,85.29%,72.17%,94.50%,58.00%,64.00%,92.50%,90.00%,86.50%,76.25%
25,xLAM-2-8b-fc-r LoRA ckpt7638-1batch-2560seq-3epoch-multi-all-nomlp,85.04%,85.04%,71.67%,93.00%,58.00%,64.00%,94.00%,87.50%,87.00%,66.67%
26,CoALM-8B,85.04%,85.04%,70.17%,92.50%,60.00%,58.00%,93.50%,88.00%,88.50%,91.25%
