test_category,total,correct,accuracy,inference_error,force_terminated,empty_turn_model_response,instance_state_mismatch,execution_response_mismatch,irrelevance_error:decoder_success,,fc_over,fc_under,fc_equal_correct,fc_equal_wrong
multi_turn_base,200,92,46.00,0,0,0,77,31,0,,24,58,29,8
multi_turn_miss_func,200,75,37.50,0,5,0,93,27,0,,112,80,2,6
multi_turn_miss_param,200,49,24.50,0,0,5,122,24,0,,145,84,2,21
multi_turn_long_context,200,86,43.00,0,0,0,84,30,0,,24,58,36,6
zh_multi_turn_base,200,42,21.00,0,1,1,109,47,0,,25,73,53,19
zh_multi_turn_miss_func,200,31,15.50,0,13,2,105,49,0,,150,114,4,12
zh_multi_turn_miss_param,200,25,12.50,0,2,2,131,40,0,,171,101,1,34
zh_multi_turn_long_context,200,42,21.00,0,2,3,102,51,0,,25,81,49,13

SUMMARY,1600,442,27.62,0,23,13,823,299,0,,676,649,176,119
