test_category,total,correct,accuracy,inference_error,force_terminated,empty_turn_model_response,instance_state_mismatch,execution_response_mismatch,irrelevance_error:decoder_success,,fc_over,fc_under,fc_equal_correct,fc_equal_wrong
multi_turn_base,200,98,49.00,0,0,57,31,14,0,,27,78,11,9
multi_turn_miss_func,200,112,56.00,0,2,31,37,18,0,,55,55,7,8
multi_turn_miss_param,200,98,49.00,0,0,34,51,17,0,,64,70,4,13
multi_turn_long_context,200,81,40.50,0,0,58,43,18,0,,33,90,11,11
zh_multi_turn_base,200,35,17.50,0,17,17,85,46,0,,67,72,35,17
zh_multi_turn_miss_func,200,36,18.00,0,22,11,86,45,0,,117,91,6,16
zh_multi_turn_miss_param,200,29,14.50,0,16,11,90,54,0,,125,89,11,26
zh_multi_turn_long_context,200,28,14.00,0,17,19,85,51,0,,66,81,36,11

SUMMARY,1600,517,32.31,0,74,238,508,263,0,,554,626,121,111
