test_category,total,correct,accuracy,inference_error,force_terminated,empty_turn_model_response,instance_state_mismatch,execution_response_mismatch,irrelevance_error:decoder_success,,fc_over,fc_under,fc_equal_correct,fc_equal_wrong
multi_turn_base,200,155,77.50,0,1,6,26,12,0,,20,25,5,6
multi_turn_miss_func,200,139,69.50,0,4,2,45,10,0,,51,29,2,7
multi_turn_miss_param,200,129,64.50,0,2,7,50,12,0,,55,37,4,7
multi_turn_long_context,200,135,67.50,0,0,5,40,20,0,,28,32,9,9
zh_multi_turn_base,200,68,34.00,0,1,7,90,34,0,,68,50,23,9
zh_multi_turn_miss_func,200,59,29.50,0,7,3,100,31,0,,116,62,7,16
zh_multi_turn_miss_param,200,48,24.00,0,4,8,102,38,0,,124,75,14,21
zh_multi_turn_long_context,200,60,30.00,0,1,3,96,40,0,,71,56,22,10

SUMMARY,1600,793,49.56,0,20,41,549,197,0,,533,366,86,85
