Rank,Model,Agentic Overall Acc,Web Search Summary,Web Search Base,Web Search No Snippet,Memory Summary,Memory KV,Memory Vector,Memory Recursive Summarization
1,Qwen3-8B (FC),12.82%,5.00%,6.00%,4.00%,20.65%,2.58%,17.42%,41.94%
2,xLAM-2-8b-fc-r LoRA ckpt171-1batch-2560seq-3epoch-eng-multi-all-only,8.49%,0.00%,0.00%,0.00%,16.99%,5.16%,16.77%,29.03%
3,xLAM-2-8b-fc-r LoRA ckpt1542-1batch-2560seq-3epoch-eng-multi-all-only,8.28%,0.00%,0.00%,0.00%,16.56%,3.23%,17.42%,29.03%
4,Llama-3.1-8B-Instruct (FC),8.24%,1.00%,1.00%,1.00%,15.48%,4.52%,12.26%,29.68%
5,Qwen3-8B (Prompt),7.99%,2.00%,1.00%,3.00%,13.98%,6.45%,11.61%,23.87%
6,xLAM-2-8b-fc-r (FC),7.96%,0.00%,0.00%,0.00%,15.91%,5.16%,16.13%,26.45%
7,xLAM-2-8b-fc-r LoRA ckpt855-1batch-2560seq-3epoch-eng-multi-all-only,7.85%,0.00%,0.00%,0.00%,15.70%,2.58%,14.84%,29.68%
8,xLAM-2-8b-fc-r LoRA ckpt62-1batch-2560seq-5epoch-zhtw-multi-3000-only,7.35%,0.50%,0.00%,1.00%,14.19%,7.10%,12.26%,23.23%
9,xLAM-2-8b-fc-r LoRA ckpt930-1batch-2560seq-5epoch-zhtw-multi-3000-only,7.31%,0.00%,0.00%,0.00%,14.62%,5.81%,14.84%,23.23%
10,xLAM-2-8b-fc-r LoRA ckpt205-1batch-2560seq-3epoch-multi-mix,7.20%,0.00%,0.00%,0.00%,14.41%,7.10%,10.32%,25.81%
11,xLAM-2-8b-fc-r LoRA ckpt496-1batch-2560seq-5epoch-zhtw-multi-3000-only,7.20%,0.00%,0.00%,0.00%,14.41%,4.52%,12.26%,26.45%
12,xLAM-2-8b-fc-r LoRA ckpt865-1batch-2560seq-3epoch-accumulate32-multi-1500,7.10%,0.00%,0.00%,0.00%,14.19%,1.94%,11.61%,29.03%
