Rank,Overall (ZH) Acc,Model,AST (ZH) Summary,ZH: Simple,ZH: Multiple,ZH: Parallel,ZH: Parallel Multiple,ZH: Relevance,Multi Turn (ZH) Overall Acc,ZH: Multi Turn Base,ZH: Multi Turn Miss Func,ZH: Multi Turn Miss Param,ZH: Multi Turn Long Context
1,63.68%,xLAM-2-8b-fc-r LoRA ckpt2840-1batch-2560seq-3epoch-apigen-nomlp,90.40%,93.00%,92.00%,92.50%,95.00%,79.17%,22.25%,28.00%,22.50%,16.50%,22.00%
2,63.58%,xLAM-2-8b-fc-r LoRA ckpt568-1batch-2560seq-3epoch-apigen-nomlp,89.60%,94.25%,93.00%,87.50%,94.50%,76.67%,23.25%,31.00%,20.00%,18.50%,23.50%
3,62.60%,xLAM-2-8b-fc-r LoRA ckpt5115-1batch-2560seq-3epoch-apigen-nomlp,89.84%,93.75%,89.50%,92.50%,93.00%,78.75%,20.38%,27.00%,19.00%,13.50%,22.00%
4,61.57%,Qwen3-8B (Prompt),90.81%,94.25%,93.00%,93.00%,94.00%,78.75%,16.25%,21.00%,21.00%,13.50%,9.50%
5,60.93%,xLAM-2-8b-fc-r (FC),81.29%,92.25%,88.00%,85.50%,85.00%,50.83%,29.38%,34.00%,29.50%,24.00%,30.00%
6,60.59%,watt-tool-8B (FC),88.23%,92.25%,91.50%,88.00%,86.50%,80.42%,17.75%,21.50%,15.50%,12.50%,21.50%
7,60.49%,BitAgent-Bounty-8B,85.48%,79.75%,83.50%,85.50%,88.00%,94.58%,21.75%,23.00%,25.50%,19.50%,19.00%
8,60.44%,BitAgent-8B,88.15%,93.00%,91.50%,87.00%,86.50%,79.58%,17.50%,21.00%,15.50%,12.50%,21.00%
9,60.20%,xLAM-2-8b-fc-r LoRA ckpt163-3epoch-all-multi-zhtw-only,85.32%,93.00%,90.00%,85.50%,87.50%,66.67%,21.25%,22.00%,18.00%,20.00%,25.00%
10,59.61%,ToolACE-2-8B (FC),89.52%,96.50%,92.00%,88.50%,91.50%,75.00%,13.25%,18.00%,11.00%,8.50%,15.50%
11,59.56%,xLAM-2-8b-fc-r LoRA ckpt12-3epoch-simple-miss-func,81.37%,92.50%,88.00%,85.00%,86.00%,50.42%,25.75%,25.00%,27.50%,23.00%,27.50%
12,59.31%,xLAM-2-8b-fc-r LoRA ckpt60-3epoch-simple-miss-func,81.61%,92.25%,88.00%,83.00%,84.00%,55.42%,24.75%,24.50%,24.50%,23.50%,26.50%
13,59.17%,xLAM-2-8b-fc-r LoRA ckpt12-3epoch-simple-miss-para,81.37%,92.00%,88.50%,85.50%,86.50%,50.00%,24.75%,24.50%,27.50%,20.50%,26.50%
14,58.92%,xLAM-2-8b-fc-r LoRA ckpt21-3epoch-funreason-pythonic-v1,81.21%,91.50%,89.50%,84.50%,85.50%,50.83%,24.38%,23.00%,28.00%,22.00%,24.50%
15,58.73%,xLAM-2-8b-fc-r LoRA ckpt420-3epoch-funreason-clean,81.77%,92.25%,90.50%,87.50%,90.50%,45.00%,23.00%,24.00%,21.00%,22.50%,24.50%
16,58.68%,xLAM-2-8b-fc-r LoRA ckpt111-3epoch-simple-miss-func,81.29%,91.00%,87.50%,82.50%,83.00%,57.50%,23.62%,21.50%,23.50%,22.00%,27.50%
17,58.33%,xLAM-2-8b-fc-r LoRA ckpt235-3epoch-funreason-clean,81.29%,91.50%,89.00%,87.00%,90.50%,45.42%,22.75%,20.50%,24.00%,23.50%,23.00%
18,58.24%,xLAM-2-8b-fc-r LoRA ckpt111-3epoch-simple-miss-para,81.21%,93.00%,88.50%,82.50%,82.00%,53.75%,22.62%,21.50%,23.50%,21.50%,24.00%
19,58.09%,xLAM-2-8b-fc-r LoRA ckpt141-3epoch-funreason-clean,81.21%,92.00%,89.50%,86.50%,90.00%,44.58%,22.25%,19.50%,23.00%,23.00%,23.50%
20,57.79%,xLAM-2-8b-fc-r LoRA ckpt47-3epoch-funreason-clean,79.60%,92.75%,87.50%,79.50%,82.00%,49.17%,24.00%,22.00%,26.00%,22.50%,25.50%
21,57.79%,xLAM-2-8b-fc-r LoRA ckpt60-3epoch-simple-miss-para,80.56%,92.25%,88.50%,82.50%,82.00%,51.67%,22.50%,21.50%,21.00%,22.50%,25.00%
22,57.60%,xLAM-2-8b-fc-r LoRA ckpt94-3epoch-funreason-clean,79.84%,91.75%,89.00%,82.50%,85.50%,45.42%,23.12%,21.50%,24.50%,21.00%,25.50%
23,57.01%,Qwen3-8B (FC),89.68%,91.75%,93.50%,93.00%,94.50%,76.25%,6.38%,8.00%,7.00%,7.00%,3.50%
24,55.88%,xLAM-2-8b-fc-r LoRA ckpt105-3epoch-funreason-pythonic-v1,81.29%,91.50%,89.00%,84.00%,89.00%,49.17%,16.50%,19.50%,13.50%,14.00%,19.00%
25,55.54%,xLAM-2-8b-fc-r LoRA ckpt186-3epoch-funreason-pythonic-v1,81.45%,91.25%,89.00%,84.50%,90.00%,49.17%,15.38%,17.50%,13.00%,12.50%,18.50%
26,55.00%,xLAM-2-8b-fc-r LoRA ckpt15-3epoch-pythonic-v2,74.44%,87.25%,83.00%,79.00%,66.00%,49.17%,24.88%,24.00%,27.50%,22.00%,26.00%
27,54.17%,xLAM-2-8b-fc-r LoRA ckpt652-3epoch-all-multi-zhtw-only,76.94%,61.25%,65.00%,85.00%,91.00%,94.58%,18.88%,22.00%,18.00%,15.00%,20.50%
28,51.13%,Llama-3.1-8B-Instruct (Prompt),81.45%,93.00%,90.00%,83.50%,86.00%,49.58%,4.12%,4.50%,2.50%,4.50%,5.00%
29,50.00%,xLAM-2-8b-fc-r LoRA ckpt75-3epoch-pythonic-v2,70.32%,85.25%,83.50%,80.50%,64.50%,30.83%,18.50%,20.00%,14.00%,16.50%,23.50%
30,49.22%,xLAM-2-8b-fc-r LoRA ckpt138-3epoch-pythonic-v2,69.84%,85.50%,82.00%,80.50%,66.50%,27.50%,17.25%,19.00%,12.50%,13.50%,24.00%
31,48.48%,xLAM-2-8b-fc-r LoRA ckpt1304-3epoch-all-multi-zhtw-only,67.66%,42.75%,47.00%,81.50%,89.50%,96.67%,18.75%,20.50%,19.50%,15.00%,20.00%
32,44.46%,CoALM-8B,71.13%,65.50%,66.00%,70.50%,76.50%,80.83%,3.12%,5.00%,3.00%,3.00%,1.50%
33,27.01%,Llama-3.1-8B-Instruct (FC),41.53%,52.50%,45.50%,57.50%,47.00%,2.08%,4.50%,5.00%,6.00%,3.50%,3.50%
34,20.78%,Ministral-8B-Instruct-2410 (FC),34.03%,20.00%,27.00%,7.00%,17.00%,100.00%,0.25%,0.50%,0.00%,0.50%,0.00%
