Rank,Overall Acc,Model,Model Link,Total Cost ($),Latency Mean (s),Latency Standard Deviation (s),Latency 95th Percentile (s),Non-Live AST Acc,Non-Live Simple AST,Non-Live Multiple AST,Non-Live Parallel AST,Non-Live Parallel Multiple AST,Live Acc,Live Simple AST,Live Multiple AST,Live Parallel AST,Live Parallel Multiple AST,Multi Turn Acc,Multi Turn Base,Multi Turn Miss Func,Multi Turn Miss Param,Multi Turn Long Context,Web Search Acc,Web Search Base,Web Search No Snippet,Memory Acc,Memory KV,Memory Vector,Memory Recursive Summarization,Relevance Detection,Irrelevance Detection,Format Sensitivity Max Delta,Format Sensitivity Standard Deviation,Organization,License
1,70.70%,xLAM-2-8b-fc-r (FC),https://huggingface.co/Salesforce/Llama-xLAM-2-8b-fc-r,N/A,N/A,N/A,N/A,84.48%,73.42%,93.50%,87.00%,84.00%,67.65%,74.42%,66.57%,50.00%,54.17%,69.12%,76.50%,69.00%,64.00%,67.00%,0.00%,0.00%,0.00%,15.91%,5.16%,16.13%,26.45%,87.50%,63.11%,N/A,N/A,Salesforce,cc-by-nc-4.0
2,67.24%,xLAM-2-8b-fc-r LoRA ckpt2364-2batch-1024seq-3epoch-apigen,self,79.53,64.39,133.31,248.64,86.92%,76.17%,93.50%,90.00%,88.00%,73.35%,77.13%,72.84%,68.75%,58.33%,53.87%,69.00%,44.00%,42.00%,60.50%,0.00%,0.00%,0.00%,10.97%,0.65%,14.84%,17.42%,93.75%,68.19%,N/A,N/A,Salesforce,cc-by-nc-4.0
3,66.85%,xLAM-2-8b-fc-r LoRA ckpt5115-1batch-2560seq-3epoch-apigen,self,99.53,89.91,219.68,385.16,85.65%,72.58%,91.00%,91.00%,88.00%,73.95%,75.19%,74.17%,62.50%,58.33%,52.37%,66.50%,46.00%,39.50%,57.50%,0.00%,0.00%,0.00%,12.90%,1.29%,11.61%,25.81%,93.75%,69.91%,N/A,N/A,Salesforce,cc-by-nc-4.0
4,66.39%,ToolACE-2-8B (FC),https://huggingface.co/Team-ACE/ToolACE-2-8B,N/A,N/A,N/A,N/A,87.73%,74.42%,92.00%,92.50%,92.00%,77.13%,69.77%,79.30%,75.00%,62.50%,38.25%,47.50%,31.50%,29.50%,44.50%,0.00%,0.00%,0.00%,13.33%,4.52%,7.10%,28.39%,75.00%,90.58%,34.5,11.9,Huawei Noah & USTC,Apache-2.0
5,65.86%,xLAM-2-8b-fc-r LoRA ckpt1705-1batch-2560seq-1epoch-apigen,self,N/A,N/A,N/A,N/A,86.33%,74.33%,93.00%,90.00%,88.00%,72.46%,76.74%,71.89%,62.50%,58.33%,51.87%,64.00%,43.50%,42.00%,58.00%,0.00%,0.00%,0.00%,9.03%,1.94%,12.26%,12.90%,100.00%,66.76%,N/A,N/A,Salesforce,cc-by-nc-4.0
6,65.84%,xLAM-2-8b-fc-r LoRA ckpt1315-2batch-1024seq-3epoch-apigen,self,80.04,65.55,111.22,243.71,87.10%,76.42%,93.50%,90.00%,88.50%,72.61%,77.52%,71.89%,62.50%,58.33%,52.62%,64.50%,45.50%,42.00%,58.50%,0.00%,0.00%,0.00%,15.70%,7.10%,13.55%,26.45%,93.75%,64.24%,N/A,N/A,Salesforce,cc-by-nc-4.0
7,65.76%,xLAM-2-8b-fc-r LoRA ckpt568-1batch-2560seq-1epoch-apigen,self,N/A,N/A,N/A,N/A,87.15%,76.08%,95.00%,89.00%,88.50%,71.35%,76.74%,70.37%,62.50%,62.50%,53.25%,64.50%,48.00%,42.50%,58.00%,0.00%,0.00%,0.00%,15.70%,7.10%,16.77%,23.23%,93.75%,63.82%,N/A,N/A,Salesforce,cc-by-nc-4.0
8,65.26%,xLAM-2-8b-fc-r LoRA ckpt1136-1batch-2560seq-1epoch-apigen,self,N/A,N/A,N/A,N/A,87.02%,75.08%,93.00%,91.00%,89.00%,71.65%,76.36%,70.85%,62.50%,62.50%,51.00%,63.50%,45.00%,41.00%,54.50%,0.00%,0.00%,0.00%,10.32%,5.16%,7.74%,18.06%,100.00%,65.63%,N/A,N/A,Salesforce,cc-by-nc-4.0
9,64.89%,xLAM-2-8b-fc-r LoRA ckpt2840-1batch-2560seq-3epoch-apigen,self,108.71,90.86,218.1,441.43,86.79%,73.67%,92.50%,91.50%,89.50%,73.06%,75.58%,72.84%,62.50%,62.50%,50.37%,65.50%,43.00%,36.00%,57.00%,0.00%,0.00%,0.00%,13.76%,3.23%,10.32%,27.74%,100.00%,63.84%,N/A,N/A,Salesforce,cc-by-nc-4.0
10,64.72%,watt-tool-8B (FC),https://huggingface.co/watt-ai/watt-tool-8B/,N/A,N/A,N/A,N/A,87.33%,76.83%,95.00%,93.00%,84.50%,76.02%,77.91%,75.69%,87.50%,62.50%,37.75%,45.50%,39.50%,24.50%,41.50%,0.00%,0.00%,0.00%,10.75%,0.65%,14.19%,17.42%,75.00%,84.73%,39.0,15.26,Watt AI Lab,Apache-2.0
