test_category,total,correct,accuracy,inference_error,force_terminated,empty_turn_model_response,instance_state_mismatch,execution_response_mismatch,irrelevance_error:decoder_success,,fc_over,fc_under,fc_equal_correct,fc_equal_wrong
multi_turn_base,200,41,20.50,5,20,2,90,42,0,,93,84,10,21
multi_turn_miss_func,200,13,6.50,7,48,5,94,33,0,,132,131,0,19
multi_turn_miss_param,200,19,9.50,2,31,3,101,44,0,,125,112,4,26
multi_turn_long_context,200,18,9.00,60,23,1,63,35,0,,64,132,8,18
zh_multi_turn_base,200,1,0.50,6,0,169,13,11,0,,1,197,1,3
zh_multi_turn_miss_func,200,0,0.00,7,0,159,19,15,0,,30,194,0,7
zh_multi_turn_miss_param,200,1,0.50,5,0,180,7,7,0,,7,199,0,4
zh_multi_turn_long_context,200,0,0.00,11,0,169,12,8,0,,1,198,2,3

SUMMARY,1600,93,5.81,103,122,688,399,195,0,,453,1247,25,101
