test_category,total,correct,accuracy,inference_error,force_terminated,empty_turn_model_response,instance_state_mismatch,execution_response_mismatch,irrelevance_error:decoder_success,,fc_over,fc_under,fc_equal_correct,fc_equal_wrong
multi_turn_base,200,92,46.00,0,0,0,80,28,0,,25,59,29,6
multi_turn_miss_func,200,79,39.50,0,3,0,91,27,0,,109,78,2,6
multi_turn_miss_param,200,49,24.50,0,0,5,122,24,0,,144,84,3,25
multi_turn_long_context,200,83,41.50,0,0,0,83,34,0,,26,61,37,5
zh_multi_turn_base,200,43,21.50,0,1,1,108,47,0,,25,73,53,18
zh_multi_turn_miss_func,200,31,15.50,0,14,2,104,49,0,,148,114,5,11
zh_multi_turn_miss_param,200,25,12.50,0,1,2,131,41,0,,171,101,2,35
zh_multi_turn_long_context,200,43,21.50,0,1,3,103,50,0,,28,78,48,12

SUMMARY,1600,445,27.81,0,20,13,822,300,0,,676,648,179,118
