model,category,recovered,judged,recovery_rate
BitAgent_BitAgent-8B,zh_parallel_multiple,29,60,0.48333333333333334
BitAgent_BitAgent-8B,zh_simple_python,24,41,0.5853658536585366
BitAgent_BitAgent-8B,zh_multiple,12,24,0.5
BitAgent_BitAgent-8B,zh_parallel,8,49,0.16326530612244897
BitAgent_BitAgent-8B,zh_multi_turn_miss_param,0,175,0.0
BitAgent_BitAgent-8B,zh_multi_turn_miss_func,0,169,0.0
BitAgent_BitAgent-8B,zh_multi_turn_base,3,161,0.018633540372670808
BitAgent_BitAgent-8B,zh_multi_turn_long_context,5,163,0.03067484662576687
google_gemma-3-4b-it,zh_parallel_multiple,13,26,0.5
google_gemma-3-4b-it,zh_simple_python,23,53,0.4339622641509434
google_gemma-3-4b-it,zh_multiple,10,24,0.4166666666666667
google_gemma-3-4b-it,zh_parallel,5,45,0.1111111111111111
Team-ACE_ToolACE-2-8B,zh_parallel_multiple,32,78,0.41025641025641024
Team-ACE_ToolACE-2-8B,zh_simple_python,23,32,0.71875
Team-ACE_ToolACE-2-8B,zh_multiple,8,17,0.47058823529411764
Team-ACE_ToolACE-2-8B,zh_parallel,10,52,0.19230769230769232
Team-ACE_ToolACE-2-8B,zh_multi_turn_miss_param,0,183,0.0
Team-ACE_ToolACE-2-8B,zh_multi_turn_miss_func,0,179,0.0
Team-ACE_ToolACE-2-8B,zh_multi_turn_base,3,166,0.018072289156626505
Team-ACE_ToolACE-2-8B,zh_multi_turn_long_context,3,171,0.017543859649122806
meta-llama_Llama-3.1-8B-Instruct,zh_parallel_multiple,33,59,0.559322033898305
meta-llama_Llama-3.1-8B-Instruct,zh_simple_python,21,41,0.5121951219512195
meta-llama_Llama-3.1-8B-Instruct,zh_multiple,7,22,0.3181818181818182
meta-llama_Llama-3.1-8B-Instruct,zh_parallel,7,76,0.09210526315789473
meta-llama_Llama-3.1-8B-Instruct,zh_multi_turn_miss_param,0,191,0.0
meta-llama_Llama-3.1-8B-Instruct,zh_multi_turn_miss_func,0,195,0.0
meta-llama_Llama-3.1-8B-Instruct,zh_multi_turn_base,0,191,0.0
meta-llama_Llama-3.1-8B-Instruct,zh_parallel_multiple,33,65,0.5076923076923077
meta-llama_Llama-3.1-8B-Instruct,zh_simple_python,23,41,0.5609756097560976
meta-llama_Llama-3.1-8B-Instruct,zh_multiple,9,22,0.4090909090909091
Qwen_Qwen3-8B,zh_parallel_multiple,35,66,0.5303030303030303
Team-ACE_ToolACE-2-8B,zh_parallel_multiple,33,71,0.4647887323943662
google_gemma-3-4b-it,zh_parallel_multiple,13,23,0.5652173913043478
Team-ACE_ToolACE-2-8B,zh_simple_python,23,32,0.71875
Qwen_Qwen3-8B,zh_simple_python,35,53,0.660377358490566
Team-ACE_ToolACE-2-8B,zh_multiple,6,17,0.35294117647058826
meta-llama_Llama-3.1-8B-Instruct,zh_parallel,7,76,0.09210526315789473
Qwen_Qwen3-8B,zh_multiple,16,20,0.8
google_gemma-3-4b-it,zh_simple_python,24,53,0.4528301886792453
google_gemma-3-4b-it,zh_multiple,12,24,0.5
Team-ACE_ToolACE-2-8B,zh_parallel,10,52,0.19230769230769232
Qwen_Qwen3-8B,zh_parallel,11,58,0.1896551724137931
google_gemma-3-4b-it,zh_parallel,5,45,0.1111111111111111
google_gemma-3-1b-it,zh_simple_python,26,86,0.3023255813953488
google_gemma-3-1b-it,zh_multiple,3,19,0.15789473684210525
google_gemma-3-1b-it,zh_parallel,1,1,1.0
meta-llama_Llama-3.1-8B-Instruct,zh_multi_turn_miss_param,0,191,0.0
Team-ACE_ToolACE-2-8B,zh_multi_turn_miss_param,0,183,0.0
Qwen_Qwen3-8B,zh_multi_turn_miss_param,0,173,0.0
google_gemma-3-1b-it,zh_multi_turn_miss_param,0,200,0.0
meta-llama_Llama-3.1-8B-Instruct,zh_multi_turn_miss_func,0,195,0.0
Team-ACE_ToolACE-2-8B,zh_multi_turn_miss_func,1,179,0.00558659217877095
Qwen_Qwen3-8B,zh_multi_turn_miss_func,0,158,0.0
Team-ACE_ToolACE-2-8B,zh_multi_turn_base,2,166,0.012048192771084338
google_gemma-3-1b-it,zh_multi_turn_miss_func,0,200,0.0
meta-llama_Llama-3.1-8B-Instruct,zh_multi_turn_base,0,191,0.0
Qwen_Qwen3-8B,zh_multi_turn_base,0,158,0.0
Team-ACE_ToolACE-2-8B,zh_multi_turn_long_context,2,171,0.011695906432748537
google_gemma-3-1b-it,zh_multi_turn_base,0,200,0.0
meta-llama_Llama-3.1-8B-Instruct,zh_multi_turn_long_context,1,191,0.005235602094240838
Qwen_Qwen3-8B,zh_multi_turn_long_context,0,181,0.0
Salesforce_Llama-xLAM-2-8b-fc-r,zh_parallel_multiple,41,81,0.5061728395061729
mistralai_Ministral-8B-Instruct-2410,zh_parallel_multiple,4,13,0.3076923076923077
mistralai_Ministral-8B-Instruct-2410,zh_simple_python,4,8,0.5
mistralai_Ministral-8B-Instruct-2410,zh_multiple,3,6,0.5
mistralai_Ministral-8B-Instruct-2410,zh_parallel,2,2,1.0
Salesforce_Llama-xLAM-2-8b-fc-r,zh_simple_python,20,37,0.5405405405405406
Salesforce_Llama-xLAM-2-8b-fc-r,zh_multiple,11,23,0.4782608695652174
Salesforce_Llama-xLAM-2-8b-fc-r,zh_parallel,13,63,0.20634920634920634
google_gemma-3-1b-it,zh_multi_turn_long_context,0,200,0.0
uiuc-convai_CoALM-8B,zh_parallel_multiple,56,246,0.22764227642276422
mistralai_Ministral-8B-Instruct-2410,zh_multi_turn_miss_param,0,199,0.0
Salesforce_Llama-xLAM-2-8b-fc-r,zh_multi_turn_miss_param,1,153,0.006535947712418301
uiuc-convai_CoALM-8B,zh_simple_python,19,135,0.14074074074074075
uiuc-convai_CoALM-8B,zh_multiple,5,59,0.0847457627118644
Salesforce_Llama-xLAM-2-8b-fc-r,zh_multi_turn_miss_func,1,142,0.007042253521126761
mistralai_Ministral-8B-Instruct-2410,zh_multi_turn_miss_func,0,200,0.0
Salesforce_Llama-xLAM-2-8b-fc-r,zh_multi_turn_base,5,137,0.0364963503649635
uiuc-convai_CoALM-8B,zh_parallel,15,259,0.05791505791505792
mistralai_Ministral-8B-Instruct-2410,zh_multi_turn_base,0,199,0.0
Salesforce_Llama-xLAM-2-8b-fc-r,zh_multi_turn_long_context,5,145,0.034482758620689655
watt-ai_watt-tool-8B,zh_parallel_multiple,31,67,0.4626865671641791
uiuc-convai_CoALM-8B,zh_multi_turn_miss_param,0,194,0.0
